original,original_year,original_url,remake,remake_year,remake_url
Forrest Gump,1994,/wiki/Forrest_Gump,Laal Singh Chaddha,2022,/wiki/Laal_Singh_Chaddha
Four Steps in the Clouds,1942,/wiki/Four_Steps_in_the_Clouds,The Virtuous Bigamist,1956,/wiki/The_Virtuous_Bigamist
Four Steps in the Clouds,1942,/wiki/Four_Steps_in_the_Clouds,A Walk in the Clouds,1995,/wiki/A_Walk_in_the_Clouds
Frankenweenie,1984,/wiki/Frankenweenie_(1984_film),Frankenweenie,2012,/wiki/Frankenweenie_(2012_film)
Freaky Friday,1976,/wiki/Freaky_Friday_(1976_film),Freaky Friday,1995,/wiki/Freaky_Friday_(1995_film)
Freaky Friday,1976,/wiki/Freaky_Friday_(1976_film),Freaky Friday,2003,/wiki/Freaky_Friday_(2003_film)
Freaky Friday,1976,/wiki/Freaky_Friday_(1976_film),Freaky Friday,2018,/wiki/Freaky_Friday_(2018_film)
Free and Easy,1930,/wiki/Free_and_Easy_(1930_film),Pick a Star,1937,/wiki/Pick_a_Star
Free and Easy,1930,/wiki/Free_and_Easy_(1930_film),Abbott and Costello in Hollywood,1945,/wiki/Abbott_and_Costello_in_Hollywood
Fright Night,1985,/wiki/Fright_Night,Fright Night,2011,/wiki/Fright_Night_(2011_film)
The Front Page,1931,/wiki/The_Front_Page_(1931_film),His Girl Friday,1940,/wiki/His_Girl_Friday
The Front Page,1931,/wiki/The_Front_Page_(1931_film),The Front Page,1974,/wiki/The_Front_Page_(1974_film)
The Front Page,1931,/wiki/The_Front_Page_(1931_film),Switching Channels,1988,/wiki/Switching_Channels
Les Fugitifs,1986,/wiki/Les_Fugitifs,Three Fugitives,1989,/wiki/Three_Fugitives
Fun with Dick and Jane,1977,/wiki/Fun_with_Dick_and_Jane_(1977_film),Fun with Dick and Jane,2005,/wiki/Fun_with_Dick_and_Jane_(2005_film)
Funny Games,1997,/wiki/Funny_Games_(1997_film),Funny Games,2007,/wiki/Funny_Games_(2007_film)
Gambit,1966,/wiki/Gambit_(1966_film),Gambit,2012,/wiki/Gambit_(2012_film)
The Gambler,1974,/wiki/The_Gambler_(1974_film),The Gambler,2014,/wiki/The_Gambler_(2014_film)
Garde à Vue,1981,/wiki/Garde_%C3%A0_Vue,Under Suspicion,2000,/wiki/Under_Suspicion_(2000_film)
Gaslight,1940,/wiki/Gaslight_(1940_film),Gaslight,1944,/wiki/Gaslight_(1944_film)
The General,1926,/wiki/The_General_(1926_film),A Southern Yankee,1948,/wiki/A_Southern_Yankee
Get Carter,1971,/wiki/Get_Carter,Get Carter,2000,/wiki/Get_Carter_(2000_film)
Ghajini,2005,/wiki/Ghajini_(2005_film),Ghajini,2008,
Gloria,1980,/wiki/Gloria_(1980_film),Gloria,1999,/wiki/Gloria_(1999_American_film)
The Godfather,1972,/wiki/The_Godfather_(film_series),Godfather,2007,/wiki/Godfather_(2007_film)
Going in Style,1979,/wiki/Going_in_Style,Going in Style,2017,/wiki/Going_in_Style_(2017_film)
The Golden Chance,1915,/wiki/The_Golden_Chance,Forbidden Fruit,1921,/wiki/Forbidden_Fruit_(1921_film)
Gone in 60 Seconds,1974,/wiki/Gone_in_60_Seconds_(1974_film),Gone in 60 Seconds,2000,/wiki/Gone_in_60_Seconds_(2000_film)
The Good Companions,1933,/wiki/The_Good_Companions_(1933_film),The Good Companions,1957,/wiki/The_Good_Companions_(1957_film)
The Goodbye Girl,1977,/wiki/The_Goodbye_Girl,The Goodbye Girl,2004,/wiki/The_Goodbye_Girl_(2004_film)
The Grand Highway,1987,/wiki/The_Grand_Highway,Paradise,1991,/wiki/Paradise_(1991_film)
The Great Train Robbery,1941,/wiki/The_Great_Train_Robbery_(1941_film),The Last Bandit,1949,/wiki/The_Last_Bandit
The Great Train Robbery,1941,/wiki/The_Great_Train_Robbery_(1941_film),South Pacific Trail,1952,/wiki/South_Pacific_Trail
Griffin and Phoenix,1976,/wiki/Griffin_and_Phoenix_(1976_film),Griffin & Phoenix,2006,/wiki/Griffin_%26_Phoenix_(2006_film)
Guess Who's Coming to Dinner,1967,/wiki/Guess_Who%27s_Coming_to_Dinner,Guess Who,2005,/wiki/Guess_Who_(film)
The Guilty,2018,/wiki/The_Guilty_(2018_film),The Guilty,2021,/wiki/The_Guilty_(2021_film)
Gunga Din,1939,/wiki/Gunga_Din_(film),Sergeants 3,1962,/wiki/Sergeants_3
A Guy Named Joe,1943,/wiki/A_Guy_Named_Joe,Always,1989,/wiki/Always_(1989_film)
Haq Mehar,1985,,Sanam Bewafa,1991,/wiki/Sanam_Bewafa
Halloween,1978,/wiki/Halloween_(1978_film),Halloween,2007,/wiki/Halloween_(2007_film)
Happy Days in Aranjuez,1933,/wiki/Happy_Days_in_Aranjuez,Desire,1936,/wiki/Desire_(1936_film)
Harakiri,1962,/wiki/Harakiri_(1962_film),Hara-Kiri: Death of a Samurai,2011,/wiki/Hara-Kiri:_Death_of_a_Samurai
The Haunting,1963,/wiki/The_Haunting_(1963_film),The Haunting,1999,/wiki/The_Haunting_(1999_film)
Heat,1986,/wiki/Heat_(1986_film), Wild Card,2015,/wiki/Wild_Card_(2015_film)
The Heartbreak Kid,1972,/wiki/The_Heartbreak_Kid_(1972_film),The Heartbreak Kid,2007,/wiki/The_Heartbreak_Kid_(2007_film)
Here Comes Mr. Jordan,1941,/wiki/Here_Comes_Mr._Jordan,Heaven Can Wait,1978,/wiki/Heaven_Can_Wait_(1978_film)
Here Comes Mr. Jordan,1941,/wiki/Here_Comes_Mr._Jordan,Down to Earth,2001,/wiki/Down_to_Earth_(2001_film)
Hi Nellie!,1934,/wiki/Hi_Nellie!,Love Is on the Air,1937,/wiki/Love_Is_on_the_Air
Hi Nellie!,1934,/wiki/Hi_Nellie!,You Can't Escape Forever,1942,/wiki/You_Can%27t_Escape_Forever
Hi Nellie!,1934,/wiki/Hi_Nellie!, The House Across the Street,1949,/wiki/The_House_Across_the_Street
High Noon,1952,/wiki/High_Noon,High Noon,2000,/wiki/High_Noon_(2000_film)
High Sierra,1941,/wiki/High_Sierra_(film),Colorado Territory,1949,/wiki/Colorado_Territory_(film)
High Sierra,1941,/wiki/High_Sierra_(film),I Died a Thousand Times,1955,/wiki/I_Died_a_Thousand_Times
The Hills Have Eyes,1977,/wiki/The_Hills_Have_Eyes_(1977_film),The Hills Have Eyes,2006,/wiki/The_Hills_Have_Eyes_(2006_film)
Himitsu,1999,/wiki/Himitsu_(film),The Secret,2007,/wiki/The_Secret_(2007_film)
His Girl Friday,1940,/wiki/His_Girl_Friday,Switching Channels,1988,/wiki/Switching_Channels
His Royal Slyness,1920,/wiki/His_Royal_Slyness,Long Fliv the King,1926,/wiki/Long_Fliv_the_King
The Hitcher,1986,/wiki/The_Hitcher_(1986_film),The Hitcher,2007,/wiki/The_Hitcher_(2007_film)
Hodet over vannet,1993,/wiki/Hodet_over_vannet,Head Above Water,1996,/wiki/Head_Above_Water_(film)
How the Grinch Stole Christmas,2000,/wiki/How_the_Grinch_Stole_Christmas_(2000_film),The Grinch,2018,/wiki/The_Grinch_(film)
Holiday,1930,/wiki/Holiday_(1930_film),Holiday,1938,/wiki/Holiday_(1938_film)
Holiday Affair,1949,/wiki/Holiday_Affair,Holiday Affair,1996,/wiki/Holiday_Affair_(1996_film)
Holiday for Henrietta,1952,/wiki/Holiday_for_Henrietta,Paris When It Sizzles,1964,/wiki/Paris_When_It_Sizzles
Hoop-La,1933,/wiki/Hoop-La,Diamond Horseshoe,1945,/wiki/Diamond_Horseshoe
Hot Money,2001,/wiki/Hot_Money,Mad Money,2008,/wiki/Mad_Money_(film)
Mystery of the Wax Museum,1933,/wiki/Mystery_of_the_Wax_Museum,House of Wax,1953,/wiki/House_of_Wax_(1953_film)
Mystery of the Wax Museum,1933,/wiki/Mystery_of_the_Wax_Museum,House of Wax,2005,/wiki/House_of_Wax_(2005_film)
House on Haunted Hill,1959,/wiki/House_on_Haunted_Hill,House on Haunted Hill,1999,/wiki/House_on_Haunted_Hill_(1999_film)
The House on Sorority Row,1983,/wiki/The_House_on_Sorority_Row,Sorority Row,2009,/wiki/Sorority_Row
House of Strangers,1949,/wiki/House_of_Strangers,Broken Lance,1954,/wiki/Broken_Lance
How to Make a Monster,1958,/wiki/How_to_Make_a_Monster_(1958_film),How to Make a Monster,2001,/wiki/How_to_Make_a_Monster_(2001_film)
Humanoids from the Deep,1980,/wiki/Humanoids_from_the_Deep,Humanoids from the Deep,1996,/wiki/Humanoids_from_the_Deep_(1996_film)
The Humpbacked Horse,1947,/wiki/The_Humpbacked_Horse_(1947_film),The Humpbacked Horse,1975,/wiki/The_Humpbacked_Horse_(1947_film)#1975_version
The Hurricane,1937,/wiki/The_Hurricane_(1937_film),Hurricane,1979,/wiki/Hurricane_(1979_film)
I Am Sam,2001,/wiki/I_Am_Sam,Main Aisa Hi Hoon,2005,/wiki/Main_Aisa_Hi_Hoon
I Married a Monster from Outer Space,1958,/wiki/I_Married_a_Monster_from_Outer_Space,I Married a Monster,1998,/wiki/I_Married_a_Monster_from_Outer_Space#Remake
I Saw What You Did,1965,/wiki/I_Saw_What_You_Did,I Saw What You Did,1988,/wiki/I_Saw_What_You_Did_(1988_film)
I Spit on Your Grave,1978,/wiki/I_Spit_on_Your_Grave,I Spit on Your Grave,2010,/wiki/I_Spit_on_Your_Grave_(2010_film)
I Want to Live!,1958,/wiki/I_Want_to_Live!,I Want to Live!,1983,/wiki/I_Want_to_Live!_(1983_film)
"I Was Born, But...",1932,"/wiki/I_Was_Born,_But...",Good Morning,1959,/wiki/Good_Morning_(1959_film)
Ice Castles,1978,/wiki/Ice_Castles,Ice Castles,2010,/wiki/Ice_Castles_(2010_film)
The Incredible Journey,1963,/wiki/The_Incredible_Journey_(film),Homeward Bound: The Incredible Journey,1993,/wiki/Homeward_Bound:_The_Incredible_Journey
Un indien dans la ville,1994,/wiki/Un_indien_dans_la_ville,Jungle 2 Jungle,1997,/wiki/Jungle_2_Jungle
Infernal Affairs,2002,/wiki/Infernal_Affairs,The Departed,2006,/wiki/The_Departed
The Informer,1935,/wiki/The_Informer_(1935_film),Uptight,1968,/wiki/Uptight_(film)
The Initiation of Sarah,1978,/wiki/The_Initiation_of_Sarah,The Initiation of Sarah,2006,/wiki/The_Initiation_of_Sarah_(2006_film)
The In-Laws,1979,/wiki/The_In-Laws_(1979_film),The In-Laws,2003,/wiki/The_In-Laws_(2003_film)
Insomnia,1997,/wiki/Insomnia_(1997_film),Insomnia,2002,/wiki/Insomnia_(2002_film)
Intermezzo,1936,/wiki/Intermezzo_(1936_film),Intermezzo,1939,/wiki/Intermezzo_(1939_film)
Interview,2003,/wiki/Interview_(2003_film),Interview,2007,/wiki/Interview_(2007_film)
The Intouchables,2011,/wiki/The_Intouchables,The Upside,2019,/wiki/The_Upside
Invaders from Mars,1953,/wiki/Invaders_from_Mars_(1953_film),Invaders from Mars,1986,/wiki/Invaders_from_Mars_(1986_film)
Invasion of the Body Snatchers,1956,/wiki/Invasion_of_the_Body_Snatchers,Invasion of the Body Snatchers,1978,/wiki/Invasion_of_the_Body_Snatchers_(1978_film)
Invasion of the Body Snatchers,1956,/wiki/Invasion_of_the_Body_Snatchers,Body Snatchers,1993,/wiki/Body_Snatchers_(1993_film)
Invasion of the Body Snatchers,1956,/wiki/Invasion_of_the_Body_Snatchers,The Invasion,2007,/wiki/The_Invasion_(film)
It Happened on 5th Avenue,1947,/wiki/It_Happened_on_5th_Avenue,Pugree,1948,
It Happened on 5th Avenue,1947,/wiki/It_Happened_on_5th_Avenue,Det hændte i København,1949,
It Happened on 5th Avenue,1947,/wiki/It_Happened_on_5th_Avenue,Dil Daulat Duniya,1972,/wiki/Dil_Daulat_Duniya
It Happened One Night,1934,/wiki/It_Happened_One_Night,Eve Knew Her Apples,1945,/wiki/Eve_Knew_Her_Apples
It Happened One Night,1934,/wiki/It_Happened_One_Night,You Can't Run Away from It,1956,/wiki/You_Can%27t_Run_Away_from_It
It Started with Eve,1941,/wiki/It_Started_with_Eve,I'd Rather Be Rich,1964,/wiki/I%27d_Rather_Be_Rich
The Italian Job,1969,/wiki/The_Italian_Job,The Italian Job,2003,/wiki/The_Italian_Job_(2003_film)
It's Alive,1974,/wiki/It%27s_Alive_(1974_film),It's Alive,2009,/wiki/It%27s_Alive_(2009_film)
It's a Wonderful Life,1946,/wiki/It%27s_a_Wonderful_Life,It Happened One Christmas,1977,/wiki/It_Happened_One_Christmas
The Jazz Singer,1927,/wiki/The_Jazz_Singer,The Jazz Singer,1952,/wiki/The_Jazz_Singer_(1952_film)
The Jazz Singer,1927,/wiki/The_Jazz_Singer,The Jazz Singer,1980,/wiki/The_Jazz_Singer_(1980_film)
Jersey,2019,/wiki/Jersey_(2019_film),Jersey,2022,
"Joe Smith, American",1942,"/wiki/Joe_Smith,_American",The Big Operator,1959,/wiki/The_Big_Operator_(1959_film)
Le Jouet,1976,/wiki/Le_Jouet,The Toy,1982,/wiki/The_Toy_(1982_film)
Le Jour se lève,1939,/wiki/Le_Jour_se_l%C3%A8ve,The Long Night,1947,/wiki/The_Long_Night_(1947_film)
Journey into Fear,1943,/wiki/Journey_into_Fear_(1943_film),Journey into Fear,1975,/wiki/Journey_into_Fear_(1975_film)
The Jungle Book,1967,/wiki/The_Jungle_Book_(1967_film),The Jungle Book,2016,/wiki/The_Jungle_Book_(2016_film)
Kaakha Kaakha,2003,/wiki/Kaakha_Kaakha,Gharshana,2004,/wiki/Gharshana
The Karate Kid,1984,/wiki/The_Karate_Kid,The Karate Kid,2010,/wiki/The_Karate_Kid_(2010_film)
Katha Parayumpol,2007,/wiki/Katha_Parayumpol,Kathanayakudu,2008,
Katha Parayumpol,2007,/wiki/Katha_Parayumpol,"Billu Barber (2009)
",2009,/wiki/Billu_Barber
Kick,2009,/wiki/Kick_(2009_film),Kick,2014,
The Kid from Left Field,1953,/wiki/The_Kid_from_Left_Field_(1953_film),The Kid from Left Field,1979,/wiki/The_Kid_from_Left_Field_(1979_film)
King Kong,1933,/wiki/King_Kong_(1933_film),King Kong,1976,/wiki/King_Kong_(1976_film)
King Kong,1933,/wiki/King_Kong_(1933_film),The Mighty Kong,1998,/wiki/The_Mighty_Kong
King Kong,1933,/wiki/King_Kong_(1933_film),King Kong,2005,/wiki/King_Kong_(2005_film)
Kismet,1944,/wiki/Kismet_(1944_film),Kismet,1955,/wiki/Kismet_(1955_film)
Kiss of Death,1947,/wiki/Kiss_of_Death_(1947_film),The Fiend Who Walked the West,1958,/wiki/The_Fiend_Who_Walked_the_West
Kiss of Death,1947,/wiki/Kiss_of_Death_(1947_film),Kiss of Death,1995,/wiki/Kiss_of_Death_(1995_film)
Kolamba Sanniya,1976,/wiki/Kolamba_Sanniya,Kolamba Sanniya Returns,2018,/wiki/Kolamba_Sanniya_Returns
Kaththi,2014,/wiki/Kaththi,Khaidhi No. 150,2017,
L.A. Takedown,1989,/wiki/L.A._Takedown,Heat,1995,/wiki/Heat_(1995_film)
Lady and the Tramp,1955,/wiki/Lady_and_the_Tramp,Lady and the Tramp,2019,/wiki/Lady_and_the_Tramp_(2019_film)
The Lady Eve,1941,/wiki/The_Lady_Eve,The Birds and the Bees,1956,/wiki/The_Birds_and_the_Bees_(film)
Lady for a Day,1933,/wiki/Lady_for_a_Day,Pocketful of Miracles,1961,/wiki/Pocketful_of_Miracles
The Ladykillers,1955,/wiki/The_Ladykillers_(1955_film),The Ladykillers,2004,/wiki/The_Ladykillers_(2004_film)
The Lady Vanishes,1938,/wiki/The_Lady_Vanishes,The Lady Vanishes,1979,/wiki/The_Lady_Vanishes_(1979_film)
Lage Raho Munna Bhai,2006,/wiki/Lage_Raho_Munna_Bhai,Shankar Dada Zindabad,2007,/wiki/Shankar_Dada_Zindabad
The Land Beyond the Law,1927,/wiki/The_Land_Beyond_the_Law,The Big Stampede,1932,/wiki/The_Big_Stampede
The Land Beyond the Law,1927,/wiki/The_Land_Beyond_the_Law,Land Beyond the Law,1937,/wiki/Land_Beyond_the_Law
The Land That Time Forgot,1975,/wiki/The_Land_That_Time_Forgot_(1975_film),The Land That Time Forgot,2009,/wiki/The_Land_That_Time_Forgot_(2009_film)
Last Holiday,1950,/wiki/Last_Holiday_(1950_film),Last Holiday,2006,/wiki/Last_Holiday_(2006_film)
The Last House on the Left,1972,/wiki/The_Last_House_on_the_Left,The Last House on the Left,2009,/wiki/The_Last_House_on_the_Left_(2009_film)
The Last Kiss,2001,/wiki/The_Last_Kiss_(2001_film),The Last Kiss,2006,/wiki/The_Last_Kiss_(2006_film)
The Last Man on Earth,1924,/wiki/The_Last_Man_on_Earth_(1924_film),It's Great to Be Alive,1933,/wiki/It%27s_Great_to_Be_Alive_(film)
The Last Mile,1932,/wiki/The_Last_Mile_(1932_film),The Last Mile,1959,/wiki/The_Last_Mile_(1959_film)
Last of the Badmen,1957,/wiki/Last_of_the_Badmen,Gunfight at Comanche Creek,1963,/wiki/Gunfight_at_Comanche_Creek
Last Shift,2014,/wiki/Last_Shift,Malum,2023,/wiki/Malum_(film)
The Letter,1940,/wiki/The_Letter_(1940_film),The Unfaithful,1947,/wiki/The_Unfaithful_(1947_film)
A Letter to Three Wives,1949,/wiki/A_Letter_to_Three_Wives,A Letter to Three Wives,1985,/wiki/A_Letter_to_Three_Wives#Adaptations
Lifeboat,1944,/wiki/Lifeboat_(1944_film),Lifepod,1993,/wiki/Lifepod_(1993_film)
De Lift,1983,/wiki/De_Lift,Down,2001,/wiki/Down_(film)
The Lion King,1994,/wiki/The_Lion_King,The Lion King,2019,/wiki/The_Lion_King_(2019_film)
Little Caesar,1931,/wiki/Little_Caesar_(film),Black Caesar,1973,/wiki/Black_Caesar_(film)
Little Fugitive,1953,/wiki/Little_Fugitive_(1953_film),Little Fugitive,2006,/wiki/Little_Fugitive_(2006_film)
The Little Mermaid,1989,/wiki/The_Little_Mermaid_(1989_film),The Little Mermaid,2023,/wiki/The_Little_Mermaid_(2023_film)
Little Miss Marker,1934,/wiki/Little_Miss_Marker_(1934_film),Sorrowful Jones,1949,/wiki/Sorrowful_Jones
Little Miss Marker,1934,/wiki/Little_Miss_Marker_(1934_film),Little Miss Marker,1980,/wiki/Little_Miss_Marker_(1980_film)
The Little Shop of Horrors,1960,/wiki/The_Little_Shop_of_Horrors,Little Shop of Horrors,1986,/wiki/Little_Shop_of_Horrors_(film)
Loft,2008,/wiki/Loft_(2008_film),Loft,2010,/wiki/Loft_(2010_film)
Loft,2008,/wiki/Loft_(2008_film),The Loft,2014,/wiki/The_Loft_(film)
LOL (Laughing Out Loud),2008,/wiki/LOL_(Laughing_Out_Loud),LOL,2012,/wiki/LOL_(2012_film)
London After Midnight,1927,/wiki/London_After_Midnight_(film),Mark of the Vampire,1935,/wiki/Mark_of_the_Vampire
Lonesome,1928,/wiki/Lonesome_(1928_film),The Affair of Susan,1935,/wiki/The_Affair_of_Susan
The Longest Yard,1974,/wiki/The_Longest_Yard_(1974_film),Mean Machine,2001,/wiki/Mean_Machine_(film)
The Longest Yard,1974,/wiki/The_Longest_Yard_(1974_film),The Longest Yard,2005,/wiki/The_Longest_Yard_(2005_film)
"The Long, Hot Summer",1958,"/wiki/The_Long,_Hot_Summer",The Long Hot Summer,1985,/wiki/The_Long_Hot_Summer_(1985_film)
The Lost Chord,1917,/wiki/The_Lost_Chord_(1917_film),The Lost Chord,1925,/wiki/The_Lost_Chord_(1925_film)
Lost Horizon,1937,/wiki/Lost_Horizon_(1937_film),Lost Horizon,1973,/wiki/Lost_Horizon_(1973_film)
Lost Patrol,1929,/wiki/Lost_Patrol_(1929_film),The Lost Patrol,1934,/wiki/The_Lost_Patrol_(1934_film)
"Louis 19, King of the Airwaves",1994,"/wiki/Louis_19,_King_of_the_Airwaves",EDtv,1999,/wiki/EDtv
Love Affair,1939,/wiki/Love_Affair_(1939_film),An Affair to Remember,1957,/wiki/An_Affair_to_Remember
Love Affair,1939,/wiki/Love_Affair_(1939_film),Love Affair,1994,/wiki/Love_Affair_(1994_film)
Love Is News,1937,/wiki/Love_Is_News,That Wonderful Urge,1948,/wiki/That_Wonderful_Urge
Love from a Stranger,1937,/wiki/Love_from_a_Stranger_(1937_film),Love from a Stranger,1947,/wiki/Love_from_a_Stranger_(1947_film)
Maula Jatt,1979,/wiki/Maula_Jatt,Jeene Nahi Doonga,1984,/wiki/Jeene_Nahi_Doonga
Maula Jatt,1979,/wiki/Maula_Jatt,The Legend of Maula Jatt,2021,/wiki/The_Legend_of_Maula_Jatt
M,1931,/wiki/M_(1931_film),M,1951,/wiki/M_(1951_film)
Mädchen in Uniform,1931,/wiki/M%C3%A4dchen_in_Uniform,Mädchen in Uniform,1958,/wiki/M%C3%A4dchen_in_Uniform_(1958_film)
Magnificent Obsession,1935,/wiki/Magnificent_Obsession_(1935_film),Magnificent Obsession,1954,/wiki/Magnificent_Obsession_(1954_film)
The Magnificent Seven,1960,/wiki/The_Magnificent_Seven,Battle Beyond the Stars,1980,/wiki/Battle_Beyond_the_Stars
The Magnificent Seven,1960,/wiki/The_Magnificent_Seven,The Magnificent Seven,2016,/wiki/The_Magnificent_Seven_(2016_film)
The Major and the Minor,1942,/wiki/The_Major_and_the_Minor,You're Never Too Young,1955,/wiki/You%27re_Never_Too_Young
A Man Called Ove,2015,/wiki/A_Man_Called_Ove_(film),A Man Called Otto,2022,/wiki/A_Man_Called_Otto
The Man Who Knew Too Much,1934,/wiki/The_Man_Who_Knew_Too_Much_(1934_film),The Man Who Knew Too Much,1956,/wiki/The_Man_Who_Knew_Too_Much_(1956_film)
The Man Who Lived Twice,1936,/wiki/The_Man_Who_Lived_Twice,Man in the Dark,1953,/wiki/Man_in_the_Dark
The Man Who Loved Women,1977,/wiki/The_Man_Who_Loved_Women_(1977_film),The Man Who Loved Women,1983,/wiki/The_Man_Who_Loved_Women_(1983_film)
The Manchurian Candidate,1962,/wiki/The_Manchurian_Candidate_(1962_film),The Manchurian Candidate,2004,/wiki/The_Manchurian_Candidate_(2004_film)
Manichitrathazhu,1993,/wiki/Manichitrathazhu,Apthamitra,2004,/wiki/Apthamitra
Manichitrathazhu,1993,/wiki/Manichitrathazhu,Chandramukhi,2005,/wiki/Chandramukhi
Manichitrathazhu,1993,/wiki/Manichitrathazhu,Rajmohol,2005,/wiki/Rajmohol
Manichitrathazhu,1993,/wiki/Manichitrathazhu,Bhool Bhulaiyaa,2007,/wiki/Bhool_Bhulaiyaa
Il Mare,2000,/wiki/Il_Mare,The Lake House,2006,/wiki/The_Lake_House_(film)
Mare Nostrum,1926,/wiki/Mare_Nostrum_(1926_film),Mare Nostrum,1948,/wiki/Mare_Nostrum_(1948_film)
Maskerade,1934,/wiki/Maskerade_(film),Escapade,1935,/wiki/Escapade_(1935_film)
Martyrs,2008,/wiki/Martyrs_(2008_film),Martyrs,2015,/wiki/Martyrs_(2015_film)
The Mayor of Hell,1933,/wiki/The_Mayor_of_Hell,Crime School,1938,/wiki/Crime_School
Midnight,1939,/wiki/Midnight_(1939_film),Masquerade in Mexico,1945,/wiki/Masquerade_in_Mexico
The Mechanic,1972,/wiki/The_Mechanic_(1972_film),The Mechanic,2011,/wiki/The_Mechanic_(2011_film)
Meet the Parents,1992,/wiki/Meet_the_Parents_(1992_film),Meet the Parents,2000,/wiki/Meet_the_Parents
Merton of the Movies,1924,/wiki/Merton_of_the_Movies_(1924_film),Make Me a Star,1932,/wiki/Make_Me_a_Star_(film)
Midsommer,2003,/wiki/Midsommer,Solstice,2008,/wiki/Solstice_(film)
Midnight Lace,1960,/wiki/Midnight_Lace,Midnight Lace,1981,/wiki/Midnight_Lace#Remake
Mighty Joe Young,1949,/wiki/Mighty_Joe_Young_(1949_film),Mighty Joe Young,1998,/wiki/Mighty_Joe_Young_(1998_film)
Miracle in Cell No. 7,2013,/wiki/Miracle_in_Cell_No._7,Miracle in Cell No. 7 (Philippine remake),2019,
Miracle in Cell No. 7,2013,/wiki/Miracle_in_Cell_No._7,Miracle in Cell No. 7 (Turkish remake),2019,
Miracle in Cell No. 7,2013,/wiki/Miracle_in_Cell_No._7,Miracle in Cell No. 7 (Indonesian remake),2022,
The Miracle of Morgan's Creek,1944,/wiki/The_Miracle_of_Morgan%27s_Creek,Rock-A-Bye Baby,1958,/wiki/Rock-A-Bye_Baby_(film)
Miracle on 34th Street,1947,/wiki/Miracle_on_34th_Street,Miracle on 34th Street,1973,/wiki/Miracle_on_34th_Street_(1973_film)
Miracle on 34th Street,1947,/wiki/Miracle_on_34th_Street,Miracle on 34th Street,1994,/wiki/Miracle_on_34th_Street_(1994_film)
The Miracle Man,1919,/wiki/The_Miracle_Man_(1919_film),The Miracle Man,1932,/wiki/The_Miracle_Man_(1932_film)
Miss Granny,2014,/wiki/Miss_Granny,20 Once Again,2015,/wiki/20_Once_Again_(film)
Miss Granny,2014,/wiki/Miss_Granny,Sweet 20,2015,/wiki/Sweet_20
Mississippi Mermaid,1969,/wiki/Mississippi_Mermaid,Original Sin,2001,/wiki/Original_Sin_(2001_film)
The Magnificent Fraud,1939,/wiki/The_Magnificent_Fraud,Moon over Parador,1988,/wiki/Moon_over_Parador
The Michigan Kid,1928,/wiki/The_Michigan_Kid_(1928_film),The Michigan Kid,1947,/wiki/The_Michigan_Kid
The More the Merrier,1943,/wiki/The_More_the_Merrier,"Walk, Don't Run",1966,"/wiki/Walk,_Don%27t_Run_(film)"
Mostly Martha,2001,/wiki/Mostly_Martha_(film),No Reservations,2007,/wiki/No_Reservations_(film)
Mother's Day,1980,/wiki/Mother%27s_Day_(1980_film),Mother's Day,2010,/wiki/Mother%27s_Day_(2010_film)
Mr. Blandings Builds His Dream House,1948,/wiki/Mr._Blandings_Builds_His_Dream_House,The Money Pit,1986,/wiki/The_Money_Pit
Mr. Deeds Goes to Town,1936,/wiki/Mr._Deeds_Goes_to_Town,Mr. Deeds,2002,/wiki/Mr._Deeds
Mr. Smith Goes to Washington,1939,/wiki/Mr._Smith_Goes_to_Washington,Billy Jack Goes to Washington,1977,/wiki/Billy_Jack_Goes_to_Washington
Mulan,1998,/wiki/Mulan_(1998_film),Mulan,2020,/wiki/Mulan_(2020_film)
The Mummy,1932,/wiki/The_Mummy_(1932_film),The Mummy,1959,/wiki/The_Mummy_(1959_film)
The Mummy,1932,/wiki/The_Mummy_(1932_film),The Mummy,1999,/wiki/The_Mummy_(1999_film)
The Mummy,1932,/wiki/The_Mummy_(1932_film),The Mummy,2017,/wiki/The_Mummy_(2017_film)
Munna Bhai M.B.B.S.,2003,/wiki/Munna_Bhai_M.B.B.S.,Shankar Dada M.B.B.S.,2004,/wiki/Shankar_Dada_M.B.B.S.
Munna Bhai M.B.B.S.,2003,/wiki/Munna_Bhai_M.B.B.S.,Vasool Raja M.B.B.S.,2004,/wiki/Vasool_Raja_M.B.B.S.
Munna Bhai M.B.B.S.,2003,/wiki/Munna_Bhai_M.B.B.S.,Uppi Dada MBBS,2006,/wiki/Uppi_Dada_MBBS
Munna Bhai M.B.B.S.,2003,/wiki/Munna_Bhai_M.B.B.S.,Dr. Nawariyan,2017,/wiki/Dr._Nawariyan
Murder!,1930,/wiki/Murder!,Mary,1931,/wiki/Mary_(1931_film)
The Music Man,1962,/wiki/The_Music_Man_(1962_film),The Music Man,2003,/wiki/The_Music_Man_(2003_film)
My Bloody Valentine,1981,/wiki/My_Bloody_Valentine_(film),My Bloody Valentine 3D,2009,/wiki/My_Bloody_Valentine_3D
My Father's Dragon,1997,/wiki/My_Father%27s_Dragon_(1997_film),My Father's Dragon,2022,/wiki/My_Father%27s_Dragon_(2022_film)
My Father the Hero,1991,/wiki/My_Father_the_Hero_(1991_film),My Father the Hero,1994,/wiki/My_Father_the_Hero_(1994_film)
